week_label,名前,武勲,勢力値
8/10〜,浪子｜星雲,137000,29406
8/10〜,剣権羽 kenkenpa,126000,20866
8/10〜,浪子｜雪花,117000,33921
8/10〜,トラ0713,115000,25874
8/10〜,浪子｜仙主,108000,32048
8/10〜,浪子｜文泰,92323,27713
8/10〜,主公5082,75839,21198
8/10〜,超人血盟軍,74068,21850
8/10〜,天順元宝,64709,28493
8/10〜,☆去亥☆,55532,26097
8/10〜,ゾウどうぞ,50811,15958
8/10〜,浪子｜薩普羅,48121,27837
8/10〜,盛三軍団,47318,25283
8/10〜,ゆなっこ,47197,18138
8/10〜,しみ犬,46654,20114
8/10〜,NAGOYA,45734,18787
8/10〜,ハッチ88,44485,15806
8/10〜,浪子｜六月,41529,25829
8/10〜,†鬼〆宗†,41139,17566
8/10〜,極悪の仏,40282,17288
8/10〜,はま爺,40192,19915
8/10〜,臨江仙,39790,26328
8/10〜,やま,36976,20251
8/10〜,じゅんじ,36920,25855
8/10〜,ボロ雑巾,36497,15109
8/10〜,浪子｜はく,33828,25947
8/10〜,虎の太公望,32427,15216
8/10〜,反社エネわん,32217,15433
8/10〜,浪子｜嚕嚕米,31657,15690
8/10〜,FICTA,30629,30916
8/10〜,団長,29706,23929
8/10〜,瑕丘鄭重,29488,18030
8/10〜,RB20,29440,14954
8/10〜,村長,29372,25276
8/10〜,ベニマル,28228,16662
8/10〜,ジョーサブ,27907,17578
8/10〜,猫ロック,27134,25070
8/10〜,片栗粉u1,26562,13729
8/10〜,MOTO,26311,19478
8/10〜,さしみ,26241,13512
8/10〜,seiji,25872,16623
8/10〜,あべゆういち,25365,13614
8/10〜,極悪女帝リザ,25288,25122
8/10〜,浪子｜教士,25285,27261
8/10〜,タロマス,24770,15517
8/10〜,くに,23915,14153
8/10〜,草津温泉,23561,17270
8/10〜,クロネコさん,23404,19979
8/10〜,えりす,22751,15852
8/10〜,パープル☆,21837,17899
8/10〜,佐々鬼,20981,13947
8/10〜,うみがめ座@,20948,13752
8/10〜,桃梨,20425,13703
8/10〜,イニミニ,20241,16497
8/10〜,だしい,20128,21564
8/10〜,烏合の集まり,19999,12901
8/10〜,外様,19538,11576
8/10〜,真田丸☆,19166,17097
8/10〜,ヴぇぼ,19118,16104
8/10〜,BARI,18730,13848
8/10〜,カム犬,18640,24364
8/10〜,ごこっと,18130,21165
8/10〜,浪子｜大猩猩,17930,21128
8/10〜,つっg,17585,21364
8/10〜,王騎大将軍✦,17398,17020
8/10〜,ゆう,16772,14607
8/10〜,浪子｜無涯,16487,20478
8/10〜,Ruu,16151,14069
8/10〜,ロドリゲス,16012,15513
8/10〜,ラック。,15866,20105
8/10〜,よる★かぜ,15714,11589
8/10〜,han,15611,16161
8/10〜,アイーン,15536,21417
8/10〜,カバオ卍,15229,15915
8/10〜,小竜,15022,16298
8/10〜,まりもX,14711,14017
8/10〜,浪子｜11,14379,15877
8/10〜,りょうしゅん,14229,14799
8/10〜,ジョージ,13749,10184
8/10〜,極悪ボンⒸ,13399,20057
8/10〜,ぞおき,13331,9387
8/10〜,ワンパンダ,13320,8854
8/10〜,大地の子,13045,12868
8/10〜,にゃんこ軍,12633,13220
8/10〜,魏無羨,12612,25875
8/10〜,浪子｜影子,12116,14992
8/10〜,行雲流水,11635,19960
8/10〜,浪子｜大黄螺旋丸,11465,25575
8/10〜,敦犬,11457,11698
8/10〜,さぶろー,10988,13769
8/10〜,メイプル,10898,18853
8/10〜,シュガー,10730,17436
8/10〜,コシヨシ,10539,17089
8/10〜,⚡SOU⚡,10278,14222
8/10〜,ワ-ドラ,9818,13630
8/10〜,HANABI,9632,16871
8/10〜,LEE,9287,19380
8/10〜,八宝菜,9278,10774
8/10〜,nim0su,9054,12949
8/10〜,モジャ,8689,18565
8/10〜,lovin.,8448,13905
8/10〜,ナムナム,8320,11052
8/10〜,マサイ,8278,11321
8/10〜,パパパ,8274,10595
8/10〜,アゲハたん★,7886,12618
8/10〜,便利屋,7843,9034
8/10〜,義孝01,7118,14152
8/10〜,浪子｜志村,7099,22683
8/10〜,荊州軍,7045,16432
8/10〜,たけとも33,6932,12855
8/10〜,ほむれず,6920,19558
8/10〜,くまモン,6560,16463
8/10〜,～凛～,6518,13275
8/10〜,浪子｜氹仔,6415,20340
8/10〜,HIMURO,5726,16163
